CASE ID,LicenseCount,AccountStatus,ChurnFlag,Activation Date Range,Tenure,Cancellation Date,ARR Category,Persona,QuickbooksComplete,BudgetCount,ActiveBudgetCount,StandardEstimateCount,ServicedEstimateCount,LeadPortalActiveCount,TimesheetCount,InvoiceCount,OnlinePaymentCountThisYear,OnlinePaymentValueThisYear,TimesheetPhotos Count
1255,2,Active,0,10/10/2013,148,,SMB,P2,1,14,1,1910,198,0,0,600,0,0,0
1256,4,Active,0,10/10/2013,148,,SMB,P2,1,19,13,676,70,67,2809,97,70,41949.67,473
1260,40,Active,0,10/10/2013,148,,MidMarket,P3,1,82,9,3935,6066,224,40295,9125,0,0,10128
1284,203,Active,0,#N/A,0,,Enterprise,G4,1,103,32,7553,19415,66,106783,4660,0,0,1713028
1285,22,Active,0,10/10/2013,148,,MidMarket,P3,1,58,4,4446,4399,228,25673,0,0,0,5389
1297,17,Active,0,10/10/2013,148,,MidMarket,P3,1,45,27,3771,5256,159,37500,0,0,0,433
1345,29,Active,0,10/10/2013,148,,MidMarket,P3,1,32,1,6447,1040,0,26608,0,0,0,1
1348,19,Active,0,11/6/2013,147,,MidMarket,P3,1,17,2,3740,7768,100,24742,17109,0,0,2752
1352,3,Active,0,10/10/2013,148,,SMB,P3,1,15,2,2802,213,0,1,0,0,0,0
1364,19,Active,0,10/10/2013,148,,MidMarket,P3,1,19,6,2908,11,67,7326,439,9,174773.43,5276
1408,5,Active,0,10/10/2013,148,,SMB,P2,1,4,2,662,1,256,746,0,0,0,468
1425,27,Active,0,10/10/2013,148,,SMB,P3,1,28,18,3936,4029,1227,18735,0,0,0,51564
1429,4,Active,0,10/10/2013,148,,SMB,P1,1,17,1,1127,5,0,0,0,0,0,0
1431,16,Active,0,10/10/2013,148,,MidMarket,P2,1,51,8,2454,3190,201,14176,1992,487,779500.23,814
1433,3,Active,0,10/10/2013,148,,SMB,P2,1,22,1,254,10,0,1154,0,0,0,0
1437,1,Active,0,10/10/2013,148,,SMB,P2,1,14,7,1143,587,11,0,0,0,0,0
1443,15,Active,0,10/10/2013,148,,MidMarket,P3,1,61,5,947,4308,72,13333,5776,0,0,1053
1444,21,Active,0,10/10/2013,148,,MidMarket,P3,1,24,4,6070,878,184,21856,832,0,0,74
1446,14,Active,0,10/10/2013,148,,MidMarket,P2,1,9,2,1010,664,0,6072,1,0,0,25
1453,1,Active,0,10/10/2013,148,,SMB,P2,1,9,8,6181,449,352,9339,0,0,0,33453
1456,1,Active,0,10/10/2013,148,,SMB,P2,1,16,9,1352,10,0,0,0,0,0,0
1487,28,Active,0,10/10/2013,148,,Enterprise,P4,1,49,4,16229,6530,658,49054,8630,0,0,5953
1508,8,Active,0,10/10/2013,148,,SMB,P2,1,11,4,1743,4,0,3879,0,0,0,0
1558,67,Active,0,10/10/2013,148,,MidMarket,P3,1,39,14,4791,1760,350,37617,6708,0,0,95
1559,22,Active,0,10/10/2013,148,,MidMarket,P3,1,9,3,6914,196,17,99,0,0,0,1
1607,21,Active,0,10/10/2013,148,,MidMarket,P3,1,6,2,4286,2494,241,27377,1,0,0,1219
1608,4,Active,0,#N/A,0,,SMB,P3,1,4,1,1121,4,0,0,0,0,0,0
1609,1,Active,0,10/10/2013,148,,SMB,P3,1,6,2,1892,0,0,0,0,0,0,0
1614,37,Active,0,10/10/2013,148,,MidMarket,P3,1,36,16,6281,6246,915,25467,10363,0,0,6348
1635,3,Active,0,10/10/2013,148,,SMB,P4,1,35,4,4738,4991,3,27043,7454,0,0,116164
1641,24,Active,0,10/10/2013,148,,SMB,G3,1,5,2,113,35,0,29422,0,0,0,1841
1653,3,Active,0,10/10/2013,148,,SMB,P2,1,28,6,1265,131,0,3975,0,0,0,1
1654,14,Active,0,10/10/2013,148,,SMB,P2,1,13,2,486,242,210,786,700,0,0,458
1656,14,Active,0,10/10/2013,148,,SMB,P2,1,12,1,1362,2925,141,9635,0,0,0,4212
1658,22,Active,0,10/10/2013,148,,MidMarket,P3,1,13,11,2960,401,87,39984,496,0,0,73588
1670,1,Active,0,10/10/2013,148,,SMB,P2,1,6,1,1798,130,0,1,0,0,0,0
1671,3,Active,0,10/10/2013,148,,MidMarket,P2,1,9,4,3814,3,0,4,0,0,0,0
1698,8,Active,0,10/10/2013,148,,MidMarket,P2,1,29,5,552,1416,19,12406,0,0,0,3321
1699,26,Active,0,10/10/2013,148,,Enterprise,P3,1,21,2,7342,1562,449,29051,1363,0,0,1315
1700,10,Active,0,10/10/2013,148,,MidMarket,G3,1,14,5,966,713,0,8224,1,0,0,63363
1707,2,Active,0,10/10/2013,148,,MidMarket,P3,1,44,10,3676,32,107,843,2,0,0,101
1726,4,Active,0,10/10/2013,148,,SMB,P4,1,17,7,4479,119,0,43006,213,0,0,16678
1747,22,Active,0,10/10/2013,148,,MidMarket,P3,1,76,7,7016,1,531,15237,1459,78,760167.88,1556
1748,25,Active,0,10/10/2013,148,,MidMarket,P3,1,22,11,2527,3409,128,39778,2011,0,0,9215
1762,8,Active,0,1/15/2014,145,,SMB,P3,1,20,1,1334,6,0,9616,0,0,0,1356
1825,22,Active,0,10/10/2013,148,,MidMarket,P3,1,34,3,2139,3464,702,15624,7296,205,305334.14,32118
1850,4,Active,0,10/10/2013,148,,SMB,P2,1,16,10,4958,2,103,0,0,0,0,0
1856,4,Active,0,10/10/2013,148,,SMB,P3,1,34,1,11178,1,0,0,0,0,0,0
1861,2,Active,0,10/10/2013,148,,SMB,P2,1,4,3,1306,6,31,0,0,0,0,0
1862,2,Active,0,10/10/2013,148,,SMB,P2,1,8,7,1221,495,0,1,0,0,0,0
1866,5,Active,0,10/10/2013,148,,SMB,P3,1,13,2,4236,3,20,2068,0,0,0,0
1875,8,Active,0,10/10/2013,148,,SMB,P2,1,8,5,632,22,0,3910,0,0,0,715
1878,1,Active,0,10/10/2013,148,,SMB,P2,1,6,3,2584,2,0,0,0,0,0,0
1936,13,Active,0,10/10/2013,148,,MidMarket,P2,1,27,8,576,4692,0,13481,1,0,0,36
1940,11,Active,0,10/10/2013,148,,MidMarket,P2,1,23,6,1350,2573,244,6301,2,0,0,12273
1944,4,Active,0,10/10/2013,148,,MidMarket,P2,1,18,4,3,997,177,1414,2065,109,95229.89,0
1970,4,Active,0,10/10/2013,148,,SMB,P2,1,13,1,1318,2,29,6133,0,0,0,0
1973,14,Active,0,10/10/2013,148,,MidMarket,P3,1,12,8,5478,9,0,7191,0,0,0,3
1975,15,Active,0,10/10/2013,148,,MidMarket,P2,1,20,7,540,92,74,4677,713,0,0,11073
1980,35,Active,0,10/10/2013,148,,MidMarket,P3,1,39,15,8447,1837,0,19460,0,0,0,16
1993,11,Active,0,10/10/2013,148,,SMB,P2,1,7,1,2262,3,0,7788,0,0,0,0
2000,64,Active,0,10/10/2013,148,,Enterprise,P4,1,72,3,5267,1046,44,38236,474,0,0,66442
2035,55,Active,0,10/10/2013,148,,MidMarket,P4,1,5,1,339,270,21,1942,1509,0,0,12535
2042,9,Active,0,10/10/2013,148,,MidMarket,P2,1,8,1,994,0,0,56,0,0,0,0
2043,32,Active,0,10/10/2013,148,,MidMarket,P3,1,11,1,7412,2077,214,22741,1,0,0,5720
2045,17,Active,0,10/10/2013,148,,MidMarket,P2,1,48,3,2307,1142,0,9796,1,0,0,18662
2061,5,Active,0,10/10/2013,148,,SMB,P2,1,27,14,752,290,62,4594,1808,0,0,815
2075,103,Active,0,10/10/2013,148,,Enterprise,P4,1,21,1,16123,8207,3138,35839,18539,0,0,898
2076,43,Active,0,10/10/2013,148,,MidMarket,P4,1,23,2,5059,1871,49,5671,2272,0,0,6003
2080,66,Active,0,10/10/2013,148,,Enterprise,P4,1,14,3,8504,914,0,72941,2656,0,0,581
2082,32,Active,0,10/10/2013,148,,Enterprise,P4,1,27,7,4824,723,9,37234,26,0,0,3347
2092,4,Active,0,10/10/2013,148,,SMB,P2,1,4,4,1829,766,0,4662,0,0,0,0
2094,5,Active,0,10/10/2013,148,,SMB,P2,1,4,1,426,16,0,3634,0,0,0,1
2100,8,Active,0,10/10/2013,148,,SMB,P2,1,19,11,1526,1438,19,12441,649,0,0,95
2149,57,Active,0,10/10/2013,148,,Enterprise,P3,1,13,1,3409,3326,805,29052,12109,0,0,3191
2152,33,Active,0,10/10/2013,148,,MidMarket,P3,1,23,7,3970,437,400,18302,1496,368,1525713.53,2146
2158,3,Active,0,10/10/2013,148,,SMB,P2,1,2,2,557,0,0,3833,0,0,0,0
2166,27,Active,0,10/10/2013,148,,MidMarket,P3,1,50,16,1070,12498,634,16273,9516,4,491.65,36978
2190,5,Active,0,10/10/2013,148,,MidMarket,P3,1,23,3,5972,392,66,37,0,0,0,0
2204,71,Active,0,10/10/2013,148,,Enterprise,P4,1,30,13,14254,1536,789,71023,1257,42,35274.58,28995
2212,32,Active,0,10/10/2013,148,,MidMarket,P3,1,18,10,911,31,0,8977,0,0,0,499
2218,3,Active,0,10/10/2013,148,,SMB,P4,1,20,3,1362,6,0,1994,0,0,0,0
2227,73,Active,0,10/10/2013,148,,Enterprise,P4,1,13,5,4136,1192,230,14112,125,0,0,13738
2235,3,Active,0,9/1/2015,125,,MidMarket,P3,1,7,2,1490,4,0,793,0,0,0,0
2239,56,Active,0,10/10/2013,148,,Enterprise,P4,1,22,1,13142,1799,1321,36781,21,0,0,2967
2240,43,Active,0,10/10/2013,148,,Enterprise,P3,1,27,4,7989,6873,1427,41778,19371,0,0,1086
2249,7,Active,0,10/10/2013,148,,SMB,P2,1,16,1,1406,875,0,5,0,0,0,0
2259,8,Active,0,10/10/2013,148,,SMB,P2,1,23,1,2704,1665,37,12540,3,0,0,301
2269,1,Active,0,10/10/2013,148,,SMB,P1,1,5,2,545,0,0,0,0,0,0,0
2287,14,Active,0,10/10/2013,148,,MidMarket,P2,1,17,2,2306,2108,318,12799,982,0,0,5000
2325,24,Active,0,10/10/2013,148,,MidMarket,P3,1,46,1,10353,135,34,24104,313,0,0,717
2348,74,Active,0,10/10/2013,148,,Enterprise,P4,1,37,18,2717,6347,472,56117,12745,0,0,108442
2357,34,Active,0,10/10/2013,148,,MidMarket,P3,1,19,4,3131,274,10,26606,324,0,0,85
2387,26,Active,0,10/10/2013,148,,MidMarket,P3,1,21,3,3458,159,640,18855,3049,600,1362862.25,26
2418,48,Active,0,10/30/2013,147,,MidMarket,P3,1,17,1,2015,2311,373,56263,11009,0,0,218422
2439,7,Active,0,10/10/2013,148,,SMB,P2,1,20,6,1501,373,0,15760,0,0,0,10
2454,27,Active,0,1/27/2014,144,,MidMarket,P3,1,16,5,1426,64,25,20424,0,0,0,367
2455,20,Active,0,10/10/2013,148,,MidMarket,P3,1,16,1,5482,2513,356,14483,2,0,0,4555
2476,3,Active,0,10/10/2013,148,,SMB,G3,1,41,5,8381,585,0,4,0,0,0,0
2493,60,Active,0,12/17/2013,146,,Enterprise,P4,1,60,8,7314,1015,41,21115,6157,0,0,3033
2501,64,Active,0,12/29/2013,145,,Enterprise,P4,1,25,3,13563,7701,361,72984,13246,0,0,278528
2507,37,Active,0,11/5/2013,147,,MidMarket,P3,1,15,1,3048,52,33,20456,0,0,0,0
2524,27,Active,0,#N/A,0,,Enterprise,P3,1,36,6,3156,4039,706,21965,270,0,0,6711
2527,45,Active,0,12/9/2013,146,,MidMarket,P3,1,17,5,14716,1865,1883,16395,35,0,0,80748
2533,5,Active,0,11/7/2013,147,,SMB,P2,1,27,1,2379,18,0,0,50,0,0,0
2565,25,Active,0,12/4/2013,146,,MidMarket,P3,1,50,19,919,1062,216,30002,1,0,0,404
2582,1,Active,0,12/12/2013,146,,SMB,P2,1,19,7,282,24,0,11,4,0,0,4
2583,9,Active,0,12/12/2013,146,,MidMarket,P2,1,50,1,4370,464,474,10307,1,0,0,9235
2588,39,Active,0,12/16/2013,146,,MidMarket,P3,1,16,9,973,7,0,1018,83,0,0,253
2605,17,Active,0,1/2/2014,145,,MidMarket,P2,1,23,1,3388,1,184,17765,0,0,0,12
2614,14,Active,0,1/1/2014,145,,MidMarket,P2,1,20,6,2008,171,172,13704,297,107,116429.44,11027
2617,2,Active,0,1/6/2014,145,,SMB,P2,1,32,1,2341,6,9,12,0,0,0,0
2618,17,Active,0,1/2/2014,145,,MidMarket,P3,1,20,3,1962,530,0,14943,0,0,0,17477
2619,13,Active,0,1/2/2014,145,,MidMarket,P2,1,14,1,2692,33,185,7093,467,0,0,44
2623,2,Active,0,1/5/2014,145,,SMB,P1,1,15,3,2366,4,0,2667,0,0,0,16
2643,2,Active,0,1/13/2014,145,,SMB,P3,1,31,1,5341,9,275,2,0,0,0,0
2647,21,Active,0,1/14/2014,145,,MidMarket,P3,1,45,8,8513,9379,638,38916,7090,104,135191.22,243
2656,104,Active,0,1/17/2014,145,,Enterprise,G4,1,28,14,8795,53459,2308,50090,72972,0,0,4773
2661,30,Active,0,1/19/2014,145,,MidMarket,P3,1,8,1,1260,1017,264,14040,1371,0,0,680
2668,28,Active,0,1/22/2014,145,,MidMarket,P3,1,20,11,2295,29,347,7671,23,0,0,1
3080,3,Active,0,#N/A,0,,SMB,P2,1,5,4,263,42,0,0,0,0,0,0
3109,33,Active,0,1/29/2014,144,,MidMarket,P3,1,4,3,661,22,0,1552,1238,0,0,3891
3110,47,Active,0,1/29/2014,144,,Enterprise,P3,1,16,2,2842,696,137,9141,1730,259,533946.68,23596
3114,30,Active,0,1/29/2014,144,,MidMarket,P3,1,22,4,296,9070,0,25022,42150,0,0,3348
3127,3,Active,0,2/10/2015,132,,SMB,P1,1,26,17,1337,22,0,1907,0,0,0,97
3132,22,Active,0,2/2/2014,144,,MidMarket,P3,1,16,3,5525,928,0,437,164,0,0,29
3135,10,Active,0,2/2/2014,144,,MidMarket,P3,1,20,6,1894,2069,370,21780,0,0,0,5490
3136,10,Active,0,2/2/2014,144,,MidMarket,P2,1,14,8,1286,1237,0,6359,0,0,0,18114
3139,1,Active,0,3/17/2015,131,,SMB,P1,1,8,6,1248,0,33,91,0,0,0,0
3141,18,Active,0,2/27/2014,143,,MidMarket,P3,1,9,2,6596,12781,0,19576,2033,0,0,3544
3142,1,Active,0,2/5/2014,144,,SMB,P1,1,13,9,977,8,0,315,0,0,0,3
3154,82,Active,0,2/3/2014,144,,Enterprise,P4,1,17,3,4628,1284,22,62406,822,0,0,24047
3171,15,Active,0,2/5/2014,144,,SMB,P2,1,26,1,1470,21,81,16,8,0,0,0
3173,1,Active,0,#N/A,0,,SMB,P2,1,14,5,544,70,4,1560,0,0,0,0
3180,23,Active,0,2/5/2014,144,,MidMarket,P3,1,39,5,4207,1667,0,26783,2,0,0,1046
3186,13,Active,0,2/5/2014,144,,MidMarket,P2,1,5,3,1508,16,290,393,345,34,229631.03,18
3194,1,Active,0,#N/A,0,,SMB,P1,1,10,2,473,0,0,0,0,0,0,0
3195,5,Active,0,3/31/2014,142,,MidMarket,P3,1,6,5,1886,21,0,1571,0,0,0,9
3198,7,Active,0,2/9/2014,144,,MidMarket,P2,1,21,4,4083,14,37,25,0,0,0,0
3205,7,Active,0,2/28/2014,143,,MidMarket,P4,1,16,1,13974,42,431,8,1,0,0,3
3206,5,Active,0,2/10/2014,144,,SMB,P1,1,14,6,395,1715,0,6703,0,0,0,0
3208,52,Active,0,2/11/2014,144,,MidMarket,P3,1,58,4,5104,2634,265,28921,1,0,0,11155
3209,19,Active,0,2/11/2014,144,,MidMarket,P3,1,16,2,1776,4609,49,5604,934,0,0,36514
3219,3,Active,0,2/12/2014,144,,SMB,P2,1,9,2,657,375,8,349,1,0,0,0
3226,5,Active,0,2/13/2014,144,,MidMarket,P3,1,6,3,1279,1,0,108,0,0,0,1
3227,3,Active,0,2/13/2014,144,,SMB,P3,1,7,3,1052,52,315,6,0,0,0,0
3229,2,Active,0,#N/A,0,,SMB,P3,1,32,2,2790,1050,31,9332,275,0,0,1938
3257,17,Active,0,9/22/2025,5,,SMB,P2,1,15,1,1986,1736,530,2048,2802,1680,565954.69,1037
3260,2,Active,0,2/27/2014,143,,SMB,P3,1,20,3,6908,142,0,4311,0,0,0,12
3266,5,Active,0,#N/A,0,,MidMarket,P1,1,19,1,627,1,0,1838,0,0,0,0
3269,1,Active,0,2/24/2014,144,,SMB,P2,1,12,1,1726,526,0,0,0,0,0,0
3275,58,Active,0,2/21/2014,144,,MidMarket,G4,1,9,5,2382,1330,205,2425,1485,0,0,646
3285,1,Active,0,2/23/2014,144,,MidMarket,P3,1,18,4,2330,20,0,2603,4,0,0,15
3286,18,Active,0,2/23/2014,144,,MidMarket,P3,1,12,11,4169,1105,838,3429,1,0,0,102
3287,3,Active,0,#N/A,0,,SMB,P2,1,10,8,962,2,0,7071,0,0,0,0
3289,29,Active,0,2/24/2014,144,,MidMarket,P3,1,51,3,5364,12312,803,46066,4067,0,0,126617
3290,10,Active,0,2/25/2014,144,,MidMarket,P3,1,12,2,4250,2805,40,5762,1,0,0,41
3291,15,Active,0,2/24/2014,144,,MidMarket,P3,1,40,5,7194,3291,153,14462,0,0,0,30
3295,3,Active,0,2/24/2014,144,,SMB,P2,1,6,1,923,174,3,5,0,0,0,0
3301,15,Active,0,2/25/2014,144,,MidMarket,P3,1,15,4,621,0,0,18466,0,0,0,32
3316,9,Active,0,2/26/2014,143,,SMB,P2,1,10,1,2693,41,0,7953,0,0,0,0
3329,5,Active,0,3/2/2014,143,,SMB,P2,1,7,6,630,96,19,6387,0,0,0,5446
3330,51,Active,0,3/2/2014,143,,Enterprise,P4,1,12,2,9796,1868,32,24563,561,0,0,101759
3333,44,Active,0,3/2/2014,143,,MidMarket,P3,1,15,6,6915,2337,1135,16368,4,0,0,897
3339,7,Active,0,3/3/2014,143,,MidMarket,P2,1,7,5,446,432,5,3807,588,0,0,13
3340,6,Active,0,3/3/2014,143,,MidMarket,P3,1,13,1,2396,449,142,4,0,0,0,0
3341,21,Active,0,3/3/2014,143,,MidMarket,P3,1,30,7,6515,1967,163,25627,2613,0,0,6738
3349,2,Active,0,3/5/2014,143,,SMB,P3,1,9,7,542,30,0,363,0,0,0,0
3351,3,Active,0,3/5/2014,143,,SMB,P2,1,4,3,1718,2,5,3,0,0,0,0
3352,2,Active,0,3/5/2014,143,,SMB,P2,1,17,13,3690,302,0,7685,0,0,0,0
3355,7,Active,0,3/5/2014,143,,MidMarket,P3,1,10,9,2095,158,0,6836,0,0,0,911
3372,26,Active,0,3/9/2014,143,,MidMarket,P3,1,35,5,2478,2633,0,28069,4753,0,0,9821
3373,2,Active,0,3/9/2014,143,,SMB,P2,1,10,1,807,5,0,407,0,0,0,0
3389,35,Active,0,3/10/2014,143,,MidMarket,P3,1,15,6,6457,2960,878,14212,8,0,0,19060
3395,27,Active,0,3/12/2014,143,,MidMarket,P3,1,34,2,2115,140,33,5489,81,0,0,33
3405,26,Active,0,3/16/2014,143,,MidMarket,P4,1,23,3,3957,3526,22,36892,21,0,0,14174
3406,6,Active,0,3/16/2014,143,,SMB,P2,1,6,3,178,11,0,2103,0,0,0,0
3419,115,Active,0,3/20/2014,143,,Enterprise,P4,1,19,12,3084,1299,0,56890,0,0,0,1865
3422,4,Active,0,3/20/2014,143,,SMB,P2,1,12,5,322,1,0,1473,0,0,0,0
3429,2,Active,0,3/24/2014,143,,SMB,P1,1,24,5,471,0,0,636,0,0,0,0
3434,4,Active,0,3/26/2014,142,,SMB,P1,1,1,1,5,0,0,5496,0,0,0,0
3437,52,Active,0,3/27/2014,142,,MidMarket,P3,1,70,11,6472,538,32,54442,3,0,0,18913
3466,95,Active,0,4/20/2014,142,,Enterprise,P4,1,4,2,0,0,0,103737,0,0,0,6
3489,1,Active,0,5/11/2014,141,,SMB,P3,1,48,1,3968,24,466,177,0,0,0,0
3495,21,Active,0,5/20/2014,141,,MidMarket,P3,1,15,3,443,1529,0,7008,14,0,0,20335
3501,2,Active,0,5/29/2014,140,,MidMarket,P2,1,8,5,725,9,0,0,0,0,0,0
3508,13,Active,0,6/27/2014,139,,MidMarket,P2,1,15,1,2791,473,0,2463,348,0,0,29
3522,6,Active,0,12/3/2014,134,,SMB,P3,1,19,2,19529,34,280,0,0,0,0,0
3535,12,Active,0,7/28/2014,138,,MidMarket,P2,1,43,30,717,1044,148,7951,1484,226,550183.43,102
3539,2,Active,0,7/30/2014,138,,SMB,P3,1,5,3,1558,124,0,8221,0,0,0,17
3545,4,Active,0,#N/A,0,,SMB,P4,1,58,9,6004,3230,0,71085,4656,0,0,227
3548,24,Active,0,8/6/2014,138,,MidMarket,P3,1,39,5,8188,5,193,16928,11832,0,0,209220
3561,1,Active,0,9/7/2014,137,,SMB,P2,1,4,1,1253,29,0,102,0,0,0,0
3566,90,Active,0,10/6/2014,136,,Enterprise,P4,1,9,3,157,334,241,146351,522,0,0,136855
3575,24,Active,0,9/30/2014,136,,MidMarket,P3,1,55,21,5376,463,641,3669,0,0,0,20923
3577,20,Active,0,10/1/2014,136,,MidMarket,P3,1,17,1,4892,3167,1338,16389,19784,0,0,23560
3581,9,Active,0,10/5/2014,136,,MidMarket,P2,1,25,2,898,8,0,435,0,0,0,0
3583,72,Active,0,10/6/2014,136,,MidMarket,P4,1,5,1,2776,7,0,97872,0,0,0,48
3584,35,Active,0,10/6/2014,136,,MidMarket,P4,1,4,1,1,0,0,22921,0,0,0,1046
3588,52,Active,0,10/15/2014,136,,MidMarket,P3,1,27,5,8827,4371,2716,27692,16521,1375,1147211.15,51601
3590,10,Active,0,10/16/2014,136,,SMB,P3,1,34,1,1579,117,266,4482,8,0,0,1922
3591,1,Active,0,#N/A,0,,SMB,P3,1,6,3,2457,3895,0,734,0,0,0,0
3608,13,Active,0,11/5/2014,135,,MidMarket,P3,1,6,4,948,304,0,8999,0,0,0,53342
3610,62,Active,0,11/6/2014,135,,SMB,P4,1,10,2,5144,128,621,45945,256,0,0,677280
3619,23,Active,0,12/11/2014,134,,MidMarket,P3,1,21,7,1478,1303,8,8565,4954,0,0,19065
3621,2,Active,0,11/16/2014,135,,SMB,P2,1,10,3,1120,1,20,3872,9,0,0,0
3632,34,Active,0,11/20/2014,135,,MidMarket,P3,1,45,4,3222,741,122,26188,7,0,0,876
3636,26,Active,0,11/22/2014,135,,MidMarket,P3,1,7,2,3181,2292,0,25691,0,0,0,347
3638,4,Active,0,11/23/2014,135,,MidMarket,P3,1,27,4,3829,3675,585,11920,10634,272,253915.33,7173
3641,2,Active,0,9/1/2015,125,,SMB,P1,1,11,1,2056,661,0,4722,0,0,0,48
